ID;Categoria;Credito;Entrada;Prazo;Parcela;Administradora;Fundo;Taxa;Seguro;Pago;Disponibilidade;Link_Whats
9015;Imóvel;R$ 1.349.854,90;R$ 662.600,00;231;R$ 7.200,48;HS;-;R$ 19.283,64;R$ 914,82;R$ 3.487,05;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209015%29%20com%20Cr%C3%A9dito%20de%20R%24%201.349.854%2C90%20e%20Entrada%20de%20R%24%20662.600%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9253;Imóvel;R$ 1.349.431,24;R$ 662.250,00;188;R$ 8.176,28;HS;-;R$ 19.277,59;R$ 845,43;R$ 109.104,43;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209253%29%20com%20Cr%C3%A9dito%20de%20R%24%201.349.431%2C24%20e%20Entrada%20de%20R%24%20662.250%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9035;Imóvel;R$ 1.079.692,57;R$ 527.840,00;198;R$ 6.433,52;HS;-;R$ 15.424,18;R$ 700,61;R$ 34.594,00;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209035%29%20com%20Cr%C3%A9dito%20de%20R%24%201.079.692%2C57%20e%20Entrada%20de%20R%24%20527.840%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9179;Imóvel;R$ 828.986,26;R$ 400.780,00;171;R$ 5.921,81;HS;-;R$ 11.842,66;R$ 556,95;R$ 109.602,15;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209179%29%20com%20Cr%C3%A9dito%20de%20R%24%20828.986%2C26%20e%20Entrada%20de%20R%24%20400.780%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9207;Imóvel;R$ 782.322,38;R$ 379.842,00;195;R$ 5.002,19;HS;-;R$ 11.176,03;R$ 536,48;R$ 45.891,08;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209207%29%20com%20Cr%C3%A9dito%20de%20R%24%20782.322%2C38%20e%20Entrada%20de%20R%24%20379.842%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9034;Imóvel;R$ 581.438,77;R$ 285.820,00;180;R$ 3.939,92;HS;-;R$ 8.306,27;R$ 390,05;R$ 3.234,88;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209034%29%20com%20Cr%C3%A9dito%20de%20R%24%20581.438%2C77%20e%20Entrada%20de%20R%24%20285.820%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9093;Imóvel;R$ 567.550,59;R$ 277.470,00;174;R$ 3.708,37;HS;-;R$ 8.107,87;R$ 354,89;R$ 46.958,31;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209093%29%20com%20Cr%C3%A9dito%20de%20R%24%20567.550%2C59%20e%20Entrada%20de%20R%24%20277.470%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
5044;Veículo;R$ 551.949,15;R$ 279.900,00;70;R$ 8.823,83;HS;-;R$ 7.884,99;R$ 543,55;R$ 7.072,01;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Ve%C3%ADculo%20%28ID%3A%205044%29%20com%20Cr%C3%A9dito%20de%20R%24%20551.949%2C15%20e%20Entrada%20de%20R%24%20279.900%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9442;Imóvel;R$ 540.994,12;R$ 263.848,00;205;R$ 3.333,31;HS;-;R$ 7.728,49;R$ 375,83;R$ 25.434,19;Disponível;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209442%29%20com%20Cr%C3%A9dito%20de%20R%24%20540.994%2C12%20e%20Entrada%20de%20R%24%20263.848%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
9219;Imóvel;R$ 530.821,58;R$ 261.605,00;201;R$ 3.111,05;HS;-;R$ 7.583,17;R$ 343,93;R$ 24.233,70;Reservada;https://wa.me/5517996482578?text=Ol%C3%A1%20Martins%21%20Vi%20no%20site%20a%20carta%20de%20Im%C3%B3vel%20%28ID%3A%209219%29%20com%20Cr%C3%A9dito%20de%20R%24%20530.821%2C58%20e%20Entrada%20de%20R%24%20261.605%2C00.%20Ainda%20est%C3%A1%20dispon%C3%ADvel%3F
